EXPOCODE,Cruise_ID,Station_ID,Cast_number,Niskin_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Latitude,Longitude,CTDPRES,Depth,CTDTEMP_ITS90,CTDSAL_PSS78,DIC,DIC_flag,TA,TA_flag,Silicate,Silicate_flag,Phosphate,Phosphate_flag,Nitrate,Nitrate_flag,Nitrite,Nitrite_flag,Nitrate_and_Nitrite,Nitrate_and_Nitrite_flag,Ammonium,Ammonium_flag,pH_initial_talk
06SN20201204,SO279,3,1,22,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,23.653052631578944,23.48834210526316,20.687836842105263,36.92766710526317,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,23,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,16.84286944444442,16.725815277777805,20.685325416666696,36.92723298611114,2110.9028545275187,2.0,2416.7699830263805,2.0,0.5236992326062928,2.0,0.0058513880738133,2.0,0.0375464068069688,2.0,0.0141408545117155,2.0,0.0516872613186843,2.0,0.2979331760916619,2.0,8.101696393666634
06SN20201204,SO279,3,1,24,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,13.412260162601603,13.31916260162602,20.68587906504068,36.92712296747968,2108.26446143321,2.0,2415.08705202637,2.0,0.5280878166838271,2.0,0.010727545675941,2.0,0.0121903928135693,2.0,0.0121903928135693,2.0,0.0243807856271387,2.0,0.1916329750293111,2.0,8.095998364126732
06SN20201204,SO279,4,1,1,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,4329.604916666667,4256.510708333334,2.4696145833333336,34.905305208333324,2196.3304574866497,2.0,2346.219665939271,2.0,43.75290819290921,2.0,1.4599152505222477,3.0,22.139184464646505,2.0,0.0136736994598015,2.0,22.152858164106306,2.0,0.1352719553701793,2.0,7.830300360210986
06SN20201204,SO279,4,1,2,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,4329.955933628316,4256.852469026551,2.4677148230088504,34.90517610619467,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,3,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,4095.574710995666,4028.509370663058,2.4944935801911754,34.91018588846269,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,4,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,3867.739066666667,3806.4184888888894,2.517732222222222,34.914798888888896,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,5,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,3866.9037241379306,3805.6035517241385,2.517771551724138,34.91478103448276,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,6,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,3850.521567650954,3789.621465843989,2.520503129131797,34.91517379903062,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,7,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,3813.6310519480494,3753.62983116883,2.5278779220779235,34.916179870129874,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,8,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,3811.1420990099023,3751.2012772277208,2.5277529702970267,34.916170792079214,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,9,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,3807.4625089285714,3747.610892857144,2.529676339285716,34.916359375000006,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,10,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,3392.693459532503,3342.4050950998403,2.6609978177086067,34.93118971920573,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,11,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,2514.428009477638,2482.044933987205,3.2661294284035285,34.98496059988186,2184.737188953435,2.0,2336.0580561847546,2.0,32.91211764387822,2.0,1.354971535497028,2.0,20.493224545774225,2.0,0.0102546695132188,2.0,20.50347921528745,2.0,0.1411237852057271,2.0,7.829546925813586
06SN20201204,SO279,4,1,12,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,1507.2795464968665,1491.3000661494675,5.987617306305975,35.28012724245639,2178.1999794414005,2.0,2318.8580978358614,2.0,17.36370690683934,2.0,1.1498149460017886,3.0,17.637104979938087,3.0,0.0122052711204797,2.0,17.649310251058566,2.0,0.1625742113247905,2.0,7.82315804561536
06SN20201204,SO279,4,1,13,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,753.8355161092682,747.2285837927243,10.522661264241066,35.55228676344455,2187.7373967011467,2.0,2342.9602681437823,2.0,11.89920506590957,2.0,1.206797908766618,3.0,19.72559993123052,2.0,0.021965059806626,2.0,19.747564991037144,2.0,0.3494885071454283,2.0,7.8290394423074465
06SN20201204,SO279,4,1,14,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,395.0160044367756,391.9132086517145,14.303851096869575,35.91113161819076,2162.2444054698603,2.0,2341.075241734531,2.0,4.503592615057984,2.0,0.7176376430429643,3.0,12.334739465903208,2.0,0.0092716718697693,2.0,12.344011137772974,2.0,0.1376111298565772,2.0,7.900129023441014
